Date,State,total
2023-03-21,Rio de Janeiro,33
2023-03-21,Pernambuco,0
2023-03-22,Bahia,1
2023-03-22,Rio de Janeiro,26
2023-03-22,Pernambuco,0
2023-03-23,Bahia,0
2023-03-23,Rio de Janeiro,38
2023-03-23,Pernambuco,1
2023-03-24,Bahia,1
2023-03-24,Rio de Janeiro,26
2023-03-24,Pernambuco,0
2023-03-25,Bahia,2
2023-03-25,Rio de Janeiro,12
2023-03-25,Pernambuco,1
2023-03-26,Bahia,3
2023-03-26,Rio de Janeiro,12
2023-03-26,Pernambuco,0
2023-03-27,Bahia,2
2023-03-27,Rio de Janeiro,10
2023-03-27,Pernambuco,0
2023-03-28,Bahia,0
2023-03-28,Rio de Janeiro,28
2023-03-28,Pernambuco,0
2023-03-29,Bahia,6
2023-03-29,Rio de Janeiro,10
2023-03-29,Pernambuco,0
2023-03-30,Bahia,1
2023-03-30,Rio de Janeiro,19
2023-03-30,Pernambuco,0
2023-03-31,Bahia,4
2023-03-31,Rio de Janeiro,32
2023-03-31,Pernambuco,0
2023-04-01,Bahia,0
2023-04-01,Rio de Janeiro,19
2023-04-01,Pernambuco,0
2023-04-02,Bahia,0
2023-04-02,Rio de Janeiro,19
2023-04-02,Pernambuco,0
2023-04-03,Bahia,2
2023-04-03,Rio de Janeiro,29
2023-04-03,Pernambuco,3
2023-04-04,Bahia,5
2023-04-04,Rio de Janeiro,40
2023-04-04,Pernambuco,0
2023-04-05,Bahia,1
2023-04-05,Rio de Janeiro,12
2023-04-05,Pernambuco,0
2023-04-06,Bahia,8
2023-04-06,Rio de Janeiro,11
2023-04-06,Pernambuco,1
2023-04-07,Bahia,6
2023-04-07,Rio de Janeiro,19
2023-04-07,Pernambuco,2
2023-04-08,Bahia,6
2023-04-08,Rio de Janeiro,3
2023-04-08,Pernambuco,0
2023-04-09,Bahia,4
2023-04-09,Rio de Janeiro,1
2023-04-09,Pernambuco,0
2023-04-10,Bahia,10
2023-04-10,Rio de Janeiro,20
2023-04-10,Pernambuco,1
2023-04-11,Bahia,0
2023-04-11,Rio de Janeiro,17
2023-04-11,Pernambuco,0
2023-04-12,Bahia,4
2023-04-12,Rio de Janeiro,32
2023-04-12,Pernambuco,0
2023-04-13,Bahia,7
2023-04-13,Rio de Janeiro,21
2023-04-13,Pernambuco,2
2023-04-14,Bahia,4
2023-04-14,Rio de Janeiro,17
2023-04-14,Pernambuco,3
2023-04-15,Bahia,5
2023-04-15,Rio de Janeiro,19
2023-04-15,Pernambuco,0
2023-04-16,Bahia,10
2023-04-16,Rio de Janeiro,10
2023-04-16,Pernambuco,0
2023-04-17,Bahia,4
2023-04-17,Rio de Janeiro,15
2023-04-17,Pernambuco,0
2023-04-18,Bahia,2
2023-04-18,Rio de Janeiro,10
2023-04-18,Pernambuco,0
2023-04-19,Bahia,2
2023-04-19,Rio de Janeiro,5
2023-04-19,Pernambuco,0
2023-04-20,Bahia,4
2023-04-20,Rio de Janeiro,7
2023-04-20,Pernambuco,1
2023-04-21,Bahia,8
2023-04-21,Rio de Janeiro,7
2023-04-21,Pernambuco,0
2023-04-22,Bahia,1
2023-04-22,Rio de Janeiro,23
2023-04-22,Pernambuco,1
2023-04-23,Bahia,4
2023-04-23,Rio de Janeiro,10
2023-04-23,Pernambuco,0
2023-04-24,Bahia,3
2023-04-24,Rio de Janeiro,11
2023-04-24,Pernambuco,0
2023-04-25,Bahia,8
2023-04-25,Rio de Janeiro,14
2023-04-25,Pernambuco,0
2023-04-26,Bahia,3
2023-04-26,Rio de Janeiro,9
2023-04-26,Pernambuco,1
2023-04-27,Bahia,7
2023-04-27,Rio de Janeiro,12
2023-04-27,Pernambuco,0
2023-04-28,Bahia,3
2023-04-28,Rio de Janeiro,3
2023-04-28,Pernambuco,0
2023-04-29,Bahia,3
2023-04-29,Rio de Janeiro,6
2023-04-29,Pernambuco,0
2023-04-30,Bahia,3
2023-04-30,Rio de Janeiro,18
2023-04-30,Pernambuco,0
2023-05-01,Bahia,4
2023-05-01,Rio de Janeiro,15
2023-05-01,Pernambuco,0
2023-05-02,Bahia,2
2023-05-02,Rio de Janeiro,9
2023-05-02,Pernambuco,2
2023-05-03,Bahia,3
2023-05-03,Rio de Janeiro,10
2023-05-03,Pernambuco,0
2023-05-04,Bahia,4
2023-05-04,Rio de Janeiro,22
2023-05-04,Pernambuco,2
2023-05-05,Bahia,8
2023-05-05,Rio de Janeiro,7
2023-05-05,Pernambuco,0
2023-05-06,Bahia,3
2023-05-06,Rio de Janeiro,16
2023-05-06,Pernambuco,0
2023-05-07,Bahia,6
2023-05-07,Rio de Janeiro,11
2023-05-07,Pernambuco,0
2023-05-08,Bahia,4
2023-05-08,Rio de Janeiro,11
2023-05-08,Pernambuco,0
2023-05-09,Bahia,5
2023-05-09,Rio de Janeiro,25
2023-05-09,Pernambuco,0
2023-05-10,Bahia,2
2023-05-10,Rio de Janeiro,13
2023-05-10,Pernambuco,0
2023-05-11,Bahia,5
2023-05-11,Rio de Janeiro,18
2023-05-11,Pernambuco,1
2023-05-12,Bahia,1
2023-05-12,Rio de Janeiro,17
2023-05-12,Pernambuco,0
2023-05-13,Bahia,0
2023-05-13,Rio de Janeiro,18
2023-05-13,Pernambuco,0
2023-05-14,Bahia,3
2023-05-14,Rio de Janeiro,21
2023-05-14,Pernambuco,0
2023-05-15,Bahia,3
2023-05-15,Rio de Janeiro,6
2023-05-15,Pernambuco,1
2023-05-16,Bahia,3
2023-05-16,Rio de Janeiro,40
2023-05-16,Pernambuco,0
2023-05-17,Bahia,3
2023-05-17,Rio de Janeiro,15
2023-05-17,Pernambuco,1
2023-05-18,Bahia,2
2023-05-18,Rio de Janeiro,4
2023-05-18,Pernambuco,1
2023-05-19,Bahia,2
2023-05-19,Rio de Janeiro,13
2023-05-19,Pernambuco,0
2023-05-20,Bahia,5
2023-05-20,Rio de Janeiro,15
2023-05-20,Pernambuco,0
2023-05-21,Bahia,7
2023-05-21,Rio de Janeiro,20
2023-05-21,Pernambuco,0
2023-05-22,Bahia,3
2023-05-22,Rio de Janeiro,10
2023-05-22,Pernambuco,0
2023-05-23,Bahia,4
2023-05-23,Rio de Janeiro,55
2023-05-23,Pernambuco,0
2023-05-24,Bahia,2
2023-05-24,Rio de Janeiro,19
2023-05-24,Pernambuco,0
2023-05-25,Bahia,0
2023-05-25,Rio de Janeiro,25
2023-05-25,Pernambuco,0
2023-05-26,Bahia,7
2023-05-26,Rio de Janeiro,9
2023-05-26,Pernambuco,0
2023-05-27,Bahia,3
2023-05-27,Rio de Janeiro,27
2023-05-27,Pernambuco,0
2023-05-28,Bahia,0
2023-05-28,Rio de Janeiro,19
2023-05-28,Pernambuco,0
2023-05-29,Bahia,3
2023-05-29,Rio de Janeiro,31
2023-05-29,Pernambuco,2
2023-05-30,Bahia,4
2023-05-30,Rio de Janeiro,27
2023-05-30,Pernambuco,0
2023-05-31,Bahia,2
2023-05-31,Rio de Janeiro,23
2023-05-31,Pernambuco,0
2023-06-01,Bahia,0
2023-06-01,Rio de Janeiro,27
2023-06-01,Pernambuco,0
2023-06-02,Bahia,2
2023-06-02,Rio de Janeiro,40
2023-06-02,Pernambuco,0
2023-06-03,Bahia,5
2023-06-03,Rio de Janeiro,19
2023-06-03,Pernambuco,0
2023-06-04,Bahia,2
2023-06-04,Rio de Janeiro,14
2023-06-04,Pernambuco,0
2023-06-05,Bahia,1
2023-06-05,Rio de Janeiro,11
2023-06-05,Pernambuco,0
2023-06-06,Bahia,3
2023-06-06,Rio de Janeiro,23
2023-06-06,Pernambuco,0
2023-06-07,Bahia,0
2023-06-07,Rio de Janeiro,28
2023-06-07,Pernambuco,0
2023-06-08,Bahia,2
2023-06-08,Rio de Janeiro,18
2023-06-08,Pernambuco,0
2023-06-09,Bahia,3
2023-06-09,Rio de Janeiro,20
2023-06-09,Pernambuco,0
2023-06-10,Bahia,4
2023-06-10,Rio de Janeiro,24
2023-06-10,Pernambuco,0
2023-06-11,Bahia,2
2023-06-11,Rio de Janeiro,7
2023-06-11,Pernambuco,0
2023-06-12,Bahia,6
2023-06-12,Rio de Janeiro,18
2023-06-12,Pernambuco,0
2023-06-13,Bahia,5
2023-06-13,Rio de Janeiro,16
2023-06-13,Pernambuco,0
2023-06-14,Bahia,1
2023-06-14,Rio de Janeiro,29
2023-06-14,Pernambuco,0
2023-06-15,Bahia,3
2023-06-15,Rio de Janeiro,30
2023-06-15,Pernambuco,0
2023-06-16,Bahia,9
2023-06-16,Rio de Janeiro,33
2023-06-16,Pernambuco,0
2023-06-17,Bahia,0
2023-06-17,Rio de Janeiro,13
2023-06-17,Pernambuco,0
2023-06-18,Bahia,2
2023-06-18,Rio de Janeiro,14
2023-06-18,Pernambuco,0
2023-06-19,Bahia,1
2023-06-19,Rio de Janeiro,19
2023-06-19,Pernambuco,0
