day,estado,vitimas,id_ocorrencia,populacao_cidade,id_ocorrencia_7d,user,replies,weekend,intervention,treatment,intervention_treatment
2023-05-29,BA,4,4,780564,2.0,FogoCruzadoBA,6,0,1,0,0
2023-05-29,RJ,6,4,2158473,4.14,FogoCruzadoRJ,30,0,1,1,1
2023-05-30,BA,3,3,972875,2.14,FogoCruzadoBA,6,0,1,0,0
2023-05-30,RJ,5,2,3660087,3.71,FogoCruzadoRJ,27,0,1,1,1
2023-05-31,BA,11,3,985397,2.43,FogoCruzadoBA,4,0,1,0,0
2023-05-31,RJ,3,3,2657250,3.57,FogoCruzadoRJ,23,0,1,1,1
2023-06-01,BA,5,4,779910,2.86,FogoCruzadoBA,0,0,1,0,0
2023-06-01,RJ,10,4,1853011,3.14,FogoCruzadoRJ,27,0,1,1,1
2023-06-02,BA,8,3,957390,3.14,FogoCruzadoBA,4,0,1,0,0
2023-06-02,RJ,10,2,3587747,2.86,FogoCruzadoRJ,35,0,1,1,1
2023-06-03,BA,11,3,986269,3.29,FogoCruzadoBA,8,1,1,0,0
2023-06-03,RJ,2,3,2705477,3.0,FogoCruzadoRJ,19,1,1,1,1
2023-06-04,BA,5,2,1396851,3.14,FogoCruzadoBA,4,1,1,0,0
2023-06-04,RJ,2,5,1820645,3.29,FogoCruzadoRJ,14,1,1,1,1
2023-06-05,BA,1,1,163449,2.71,FogoCruzadoBA,2,0,1,0,0
2023-06-05,RJ,9,4,2011177,3.29,FogoCruzadoRJ,11,0,1,1,1
2023-06-06,BA,11,2,1459313,2.57,FogoCruzadoBA,6,0,1,0,0
2023-06-06,RJ,9,3,2305693,3.43,FogoCruzadoRJ,21,0,1,1,1
2023-06-07,BA,4,2,1459313,2.43,FogoCruzadoBA,2,0,1,0,0
2023-06-07,RJ,4,4,2242869,3.57,FogoCruzadoRJ,28,0,1,1,1
2023-06-08,BA,5,1,2675656,2.0,FogoCruzadoBA,4,0,1,0,0
2023-06-08,RJ,4,3,2309246,3.43,FogoCruzadoRJ,18,0,1,1,1
2023-06-09,BA,4,3,972875,2.0,FogoCruzadoBA,6,0,1,0,0
2023-06-09,RJ,7,5,1636534,3.86,FogoCruzadoRJ,20,0,1,1,1
2023-06-10,BA,6,1,2675656,1.71,FogoCruzadoBA,8,1,1,0,0
2023-06-10,RJ,8,4,1904002,4.0,FogoCruzadoRJ,24,1,1,1,1
2023-06-11,BA,7,3,1027358,1.86,FogoCruzadoBA,2,1,1,0,0
2023-06-11,RJ,3,3,2418221,3.71,FogoCruzadoRJ,7,1,1,1,1
2023-06-12,BA,4,4,739702,2.29,FogoCruzadoBA,10,0,1,0,0
2023-06-12,RJ,1,1,6320446,3.29,FogoCruzadoRJ,18,0,1,1,1
2023-06-13,BA,7,3,1027358,2.43,FogoCruzadoBA,10,0,1,0,0
2023-06-13,RJ,12,7,1268840,3.86,FogoCruzadoRJ,16,0,1,1,1
2023-06-14,BA,6,2,1459313,2.43,FogoCruzadoBA,2,0,1,0,0
2023-06-14,RJ,5,4,2011177,3.86,FogoCruzadoRJ,49,0,1,1,1
2023-06-15,BA,1,1,2675656,2.43,FogoCruzadoBA,6,0,1,0,0
2023-06-15,RJ,4,2,3389559,3.71,FogoCruzadoRJ,60,0,1,1,1
2023-06-16,BA,6,3,986269,2.43,FogoCruzadoBA,18,0,1,0,0
2023-06-16,RJ,10,3,2544722,3.43,FogoCruzadoRJ,62,0,1,1,1
2023-06-17,BA,5,3,1027358,2.71,FogoCruzadoBA,0,1,1,0,0
2023-06-17,RJ,5,4,2114828,3.43,FogoCruzadoRJ,26,1,1,1,1
2023-06-18,BA,3,2,1459313,2.57,FogoCruzadoBA,4,1,1,0,0
2023-06-18,RJ,3,2,3558351,3.29,FogoCruzadoRJ,29,1,1,1,1
2023-06-19,BA,8,1,2675656,2.14,FogoCruzadoBA,2,0,1,0,0
2023-06-19,RJ,5,2,3394889,3.43,FogoCruzadoRJ,38,0,1,1,1
2023-06-20,BA,3,2,1459313,2.0,FogoCruzadoBA,1,0,1,0,0
2023-06-20,RJ,6,3,2189002,2.86,FogoCruzadoRJ,14,0,1,1,1
2023-06-21,BA,3,1,2675656,1.86,FogoCruzadoBA,0,0,1,0,0
2023-06-21,RJ,3,5,1762586,3.0,FogoCruzadoRJ,14,0,1,1,1
2023-06-22,BA,1,1,2675656,1.86,FogoCruzadoBA,2,0,1,0,0
2023-06-22,RJ,6,4,2161138,3.29,FogoCruzadoRJ,16,0,1,1,1
2023-06-23,BA,2,1,2675656,1.57,FogoCruzadoBA,0,0,1,0,0
2023-06-23,RJ,4,2,3660087,3.14,FogoCruzadoRJ,26,0,1,1,1
2023-06-24,BA,11,3,972875,1.57,FogoCruzadoBA,0,1,1,0,0
2023-06-24,RJ,13,5,1772512,3.29,FogoCruzadoRJ,14,1,1,1,1
2023-06-25,BA,2,2,1337828,1.57,FogoCruzadoBA,3,1,1,0,0
2023-06-25,RJ,0,2,3389559,3.29,FogoCruzadoRJ,14,1,1,1,1
2023-06-26,BA,3,2,1459313,1.71,FogoCruzadoBA,5,0,1,0,0
2023-06-26,RJ,5,2,3587747,3.29,FogoCruzadoRJ,12,0,1,1,1
2023-06-27,BA,1,3,1000594,1.86,FogoCruzadoBA,2,0,1,0,0
2023-06-27,RJ,2,1,6320446,3.0,FogoCruzadoRJ,34,0,1,1,1
2023-06-28,BA,13,3,1012224,2.14,FogoCruzadoBA,1,0,1,0,0
2023-06-28,RJ,5,2,3389559,2.57,FogoCruzadoRJ,24,0,1,1,1
2023-06-29,BA,5,2,1459313,2.29,FogoCruzadoBA,1,0,1,0,0
2023-06-29,RJ,3,1,6320446,2.14,FogoCruzadoRJ,23,0,1,1,1
2023-06-30,BA,12,1,2675656,2.29,FogoCruzadoBA,6,0,1,0,0
2023-06-30,RJ,2,3,2311823,2.29,FogoCruzadoRJ,33,0,1,1,1
2023-07-01,BA,4,2,1396851,2.14,FogoCruzadoBA,2,1,1,0,0
2023-07-01,RJ,11,5,1824291,2.29,FogoCruzadoRJ,11,1,1,1,1
2023-07-02,BA,6,2,1357919,2.14,FogoCruzadoBA,0,1,1,0,0
2023-07-02,RJ,0,1,6320446,2.14,FogoCruzadoRJ,10,1,1,1,1
