id_ocorrencia;local_ocorrencia;latitude_ocorrencia;longitude_ocorrencia;data_ocorrencia;hora_ocorrencia;presen_agen_segur_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia;qtd_ferido_civil_ocorrencia;qtd_ferido_agen_segur_ocorrencia;estado_id;cidade_id;nome_cidade;cod_ibge_cidade;gentilico_cidade;populacao_cidade;area_cidade;densidade_demo_cidade;nome_estado;uf_estado;cod_ibge_estado;homem_qtd_mortos_oc;homem_qtd_feridos_oc;mulher_qtd_mortos_oc;mulher_qtd_feridos_oc;chacina_oc;chacina_qtd_mortos_oc;chacina_unidades_policiais_oc;ag_seguranca_vitima_oc;ag_seguranca_mortos_status_oc;ag_seguranca_feridos_status_oc;bala_perdida_oc;bala_perdida_qtd_mortos_oc;bala_perdida_qtd_feridos_oc;interior_residencia_oc;interior_residencia_qtd_mortos_oc;interior_residencia_qtd_feridos_oc;imediacao_ensino_oc;imediacao_ensino_qtd_mortos_oc;imediacao_ensino_qtd_feridos_oc;vitima_crianca_oc;vitima_crianca_qtd_mortos_oc;info_adicional_crianca_morta_oc;vitima_crianca_qtd_feridos_oc;info_adicional_crianca_ferida_oc;vitima_adolescente_oc;vitima_adolescente_qtd_mortos_oc;info_adicional_adolescente_morto_oc;vitima_adolescente_qtd_feridos_oc;info_adicional_adolescente_ferido_oc;vitima_idoso_oc;vitima_idoso_qtd_mortos_oc;info_adicional_idoso_morto_oc;vitima_idoso_qtd_feridos_oc;info_adicional_idoso_ferido_oc;informacao_via_oc;descricao_via_interrompida_oc;data_interrupcao_via_oc;data_liberacao_via_oc;outros_recortes;motivo_principal;motivo_complementar
56796;Rua são felipe, sede - Mata de São João;-12.530382089527238;-38.30320130689269;29/04/2023;21:40:00;0;1;0;0;0;5;455;Mata de São João;2921005;matense;40183;63320;63.50;Bahia;BA;29;1;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Execução;Não identificado
56797;Manguinhos - Av. Brasil, 4365 - Manguinhos, Rio de Janeiro - RJ, 21040-360, Brasil;-22.877484;-43.2438384;30/04/2023;07:00:00;0;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;1;0;0;Não;0;;Não;;;Sim;0;1;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Outro;
56798;Favela da Chacrinha - Praça Seca, Rio de Janeiro - RJ, 22733-040, Brasil;-22.9020993;-43.3611616;01/05/2023;01:07:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Disputa;
56799;Km 32, Nova Iguaçu - RJ, Brasil;-22.852393;-43.6111323;30/04/2023;09:00:00;0;2;0;0;0;19;3643;Nova Iguaçu;3303500;iguaçuano;796257;52125;1.53;Rio de Janeiro;RJ;33;2;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Execução;
56800;R. Paranapanema, 986 - Olaria, Rio de Janeiro - RJ, 21073-185, Brasil;-22.848144211932134;-43.27386573890077;01/05/2023;07:27:00;1;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;1;0;0;Não;0;UPP (Complexo da Penha);Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Ação policial;
56802;Largo da Glória- Saúde, Salvador - BA, 40040-620, Brasil;-12.9721963;-38.5058168;01/05/2023;02:00:00;0;1;0;1;0;5;538;Salvador;2927408;soteropolitano;2675656;69282;3.86;Bahia;BA;29;1;1;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Execução;Não identificado
56803;BR 101 - Jardim Catarina, São Gonçalo - RJ, Brasil;-22.78763670693769;-42.99898230845947;01/05/2023;10:22:00;1;0;0;1;0;19;3666;São Gonçalo;3304904;gonçalense;999728;24771;4.04;Rio de Janeiro;RJ;33;0;1;0;0;Não;0;BPChq;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;Perseguição;Ação policial;
56814;Tv. Santa Rita - Boa Vista de São Caetano, Salvador-BA, Brasil;-12.922162186130318;-38.477980064418034;01/05/2023;02:00:00;0;1;0;0;0;5;538;Salvador;2927408;soteropolitano;2675656;69282;3.86;Bahia;BA;29;1;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Execução;Não identificado
56816;Malemba, Candeias- BA, 43805-710, Brasil;-12.678637668652291;-38.54218033834533;01/05/2023;00:00:00;0;1;0;0;0;5;280;Candeias;2906501;candeense;83158;25836;321.90;Bahia;BA;29;1;0;0;0;Não;0;;Não;;;Não;0;0;Sim;1;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Execução;Não identificado
56817;Rua Ubatuba - IAPI, Padre Miguel, Rio de Janeiro - RJ, 21870-420, Brasil;-22.8750066;-43.4503091;01/05/2023;13:00:00;1;1;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;1;0;0;0;Não;0;14 BPM;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Ação policial;
